"","x"
"317","ADRA1D"
"318","ADRA2A"
"319","ADRA2B"
"320","ADRA2C"
"321","ADRB1"
"322","ADRB2"
"323","ADRB3"
"324","ADRBK1"
"325","ADRBK2"
"326","ADRM1"
"327","ADSSL1"
"328","ADTRP"
"329","AEBP1"
"330","AEN"
"331","AES"
"332","AFAP1L1"
"333","AFAP1L2"
"334","AFF2"
"335","AFM"
"336","AFMID"
"337","AFP"
"338","AFTPH"
"339","AGA"
"340","AGAP1"
"341","AGAP2"
"342","AGAP3"
"343","AGAP4"
"344","AGAP6"
"345","AGAP7"
"346","AGAP8"
"347","AGAP9"
"348","AGBL3"
"349","AGBL4"
"350","AGBL5"
"351","AGER"
"352","AGFG1"
"353","AGFG2"
"354","AGGF1"
"355","AGK"
"356","AGL"
"357","AGMAT"
"358","AGMO"
"359","AGO1"
"360","AGO2"
"361","AGO3"
"362","AGO4"
"363","AGPAT1"
"364","AGPAT2"
"365","AGPAT3"
"366","AGPAT4"
"367","AGPAT6"
"368","AGPAT9"
"369","AGPS"
"370","AGR2"
"371","AGR3"
"372","AGRN"
"373","AGRP"
"374","AGT"
"375","AGTPBP1"
"376","AGTR1"
"377","AGTR2"
"378","AGTRAP"
"379","AGXT"
"380","AGXT2"
"381","AGXT2L1"
"382","AGXT2L2"
"383","AHCYL1"
"384","AHCYL2"
"385","AHNAK"
"386","AHNAK2"
"387","AHR"
"388","AHRR"
"389","AHSA1"
"390","AHSA2"
"391","AHSG"
"392","AHSP"
"393","AICDA"
"394","AIDA"
"395","AIF1"
"396","AIF1L"
"397","AIFM2"
"398","AIFM3"
"399","AIG1"
"400","AIM1"
"401","AIM2"
"402","AIMP1"
"403","AIMP2"
"404","AIP"
"405","AIPL1"
"406","AIRE"
"407","AJAP1"
"408","AJUBA"
"409","AK1"
"410","AK3"
"411","AK4"
"412","AK5"
"413","AK7"
"414","AK8"
"415","AK9"
"416","AKAP1"
"417","AKAP11"
"418","AKAP12"
"419","AKAP13"
"420","AKAP14"
"421","AKAP17A"
"422","AKAP2"
"423","AKAP4"
"424","AKAP5"
"425","AKAP6"
"426","AKAP7"
"427","AKAP8"
"428","AKAP9"
"429","AKIP1"
"430","AKIRIN1"
"431","AKNAD1"
"432","AKR1A1"
"433","AKR1B1"
"434","AKR1B10"
"435","AKR1B15"
"436","AKR1C1"
"437","AKR1C2"
"438","AKR1C3"
"439","AKR1D1"
"440","AKR1E2"
"441","AKR7A2"
"442","AKR7A3"
"443","AKR7L"
"444","AKT1"
"445","AKT1S1"
"446","AKT2"
"447","AKTIP"
"448","AL137145.1"
"449","ALAD"
"450","ALAS1"
"451","ALAS2"
"452","ALB"
"453","ALCAM"
"454","ALDH16A1"
"455","ALDH1A1"
"456","ALDH1A2"
"457","ALDH1A3"
"458","ALDH1B1"
"459","ALDH1L1"
"460","ALDH1L2"
"461","ALDH2"
"462","ALDH3A1"
"463","ALDH3A2"
"464","ALDH4A1"
"465","ALDH5A1"
"466","ALDH6A1"
"467","ALDH7A1"
"468","ALDH8A1"
"469","ALDH9A1"
"470","ALDOB"
"471","ALDOC"
"472","ALG10"
"473","ALG10B"
"474","ALG12"
"475","ALG1L"
"476","ALG3"
"477","ALG5"
"478","ALG6"
"479","ALG9"
"480","ALK"
"481","ALKBH1"
"482","ALKBH2"
"483","ALKBH3"
"484","ALKBH4"
"485","ALKBH5"
"486","ALKBH6"
"487","ALKBH7"
"488","ALLC"
"489","ALOX12"
"490","ALOX12B"
"491","ALOX15B"
"492","ALOX5"
"493","ALOX5AP"
"494","ALOXE3"
"495","ALPI"
"496","ALPK2"
"497","ALPK3"
"498","ALPL"
"499","ALPP"
"500","ALPPL2"
"501","ALS2"
"502","ALS2CL"
"503","ALS2CR11"
"504","ALS2CR12"
"505","ALS2CR8"
"506","ALX1"
"507","ALX3"
"508","ALX4"
"509","AMACR"
"510","AMBN"
"511","AMBP"
"512","AMBRA1"
"513","AMDHD1"
"514","AMDHD2"
"515","AMELX"
"516","AMER1"
"517","AMER3"
"518","AMFR"
"519","AMH"
"520","AMHR2"
"521","AMICA1"
"522","AMIGO1"
"523","AMIGO2"
"524","AMMECR1"
"525","AMMECR1L"
"526","AMN"
"527","AMN1"
"528","AMOT"
"529","AMOTL1"
"530","AMOTL2"
"531","AMPD1"
"532","AMPD2"
"533","AMPD3"
"534","AMPH"
"535","AMT"
"536","AMTN"
"537","AMY1A"
"538","AMY1C"
"539","AMY2A"
"540","AMY2B"
"541","AMZ1"
"542","AMZ2"
"543","ANAPC16"
"544","ANAPC2"
"545","ANG"
"546","ANGEL1"
"547","ANGEL2"
"548","ANGPT1"
"549","ANGPT2"
"550","ANGPT4"
"551","ANGPTL1"
"552","ANGPTL2"
"553","ANGPTL3"
"554","ANGPTL4"
"555","ANGPTL5"
"556","ANGPTL6"
"557","ANGPTL7"
"558","ANK1"
"559","ANK2"
"560","ANK3"
"561","ANKDD1A"
"562","ANKEF1"
"563","ANKFN1"
"564","ANKFY1"
"565","ANKH"
"566","ANKIB1"
"567","ANKK1"
"568","ANKLE1"
"569","ANKMY1"
"570","ANKMY2"
"571","ANKRA2"
"572","ANKRD1"
"573","ANKRD10"
"574","ANKRD11"
"575","ANKRD12"
"576","ANKRD13A"
"577","ANKRD13B"
"578","ANKRD13C"
"579","ANKRD13D"
"580","ANKRD16"
"581","ANKRD18A"
"582","ANKRD18B"
"583","ANKRD20A1"
"584","ANKRD20A2"
"585","ANKRD20A3"
"586","ANKRD20A4"
"587","ANKRD22"
"588","ANKRD23"
"589","ANKRD24"
"590","ANKRD26"
"591","ANKRD27"
"592","ANKRD28"
"593","ANKRD29"
"594","ANKRD30B"
"595","ANKRD32"
"596","ANKRD33"
"597","ANKRD33B"
"598","ANKRD34A"
"599","ANKRD34B"
"600","ANKRD35"
"601","ANKRD37"
"602","ANKRD39"
"603","ANKRD40"
"604","ANKRD42"
"605","ANKRD45"
"606","ANKRD46"
"607","ANKRD49"
"608","ANKRD50"
"609","ANKRD52"
"610","ANKRD53"
"611","ANKRD54"
"612","ANKRD55"
"613","ANKRD6"
"614","ANKRD62"
"615","ANKRD63"
"616","ANKRD7"
"617","ANKRD9"
"618","ANKS1A"
"619","ANKS1B"
"620","ANKS3"
"621","ANKS4B"
"622","ANKS6"
"623","ANKZF1"
"624","ANO1"
"625","ANO10"
"626","ANO3"
"627","ANO4"
"628","ANO5"
"629","ANO6"
"630","ANO7"
"631","ANO8"
"632","ANO9"
"633","ANP32A"
"634","ANP32D"
"635","ANP32E"
"636","ANPEP"
"637","ANTXR1"
"638","ANTXR2"
"639","ANXA1"
"640","ANXA10"
"641","ANXA11"
"642","ANXA13"
"643","ANXA2"
"644","ANXA2R"
"645","ANXA3"
"646","ANXA4"
"647","ANXA5"
"648","ANXA6"
"649","ANXA7"
"650","ANXA8"
"651","ANXA8L1"
"652","ANXA8L2"
"653","ANXA9"
"654","AOAH"
"655","AOC2"
"656","AOC3"
"657","AOX1"
"658","AP000679.2"
"659","AP003774.4"
"660","AP1AR"
"661","AP1G1"
"662","AP1G2"
"663","AP1M1"
"664","AP1M2"
"665","AP1S1"
"666","AP1S2"
"667","AP1S3"
"668","AP2A1"
"669","AP2A2"
"670","AP2B1"
"671","AP3B1"
"672","AP3B2"
"673","AP3D1"
"674","AP3M1"
"675","AP3M2"
"676","AP3S1"
"677","AP3S2"
"678","AP4B1"
"679","AP4E1"
"680","AP4M1"
"681","AP4S1"
"682","AP5M1"
"683","AP5S1"
"684","AP5Z1"
"685","APAF1"
"686","APBA1"
"687","APBA3"
"688","APBB1"
"689","APBB1IP"
"690","APBB2"
"691","APBB3"
"692","APC2"
"693","APCDD1"
"694","APCDD1L"
"695","APCS"
"696","APEH"
"697","APH1A"
"698","APH1B"
"699","APIP"
"700","APITD1"
"701","APLF"
"702","APLNR"
"703","APLP1"
"704","APLP2"
"705","APMAP"
"706","APOA1"
"707","APOA1BP"
"708","APOA2"
"709","APOA4"
"710","APOB"
"711","APOBEC1"
"712","APOBEC2"
"713","APOBEC3B"
"714","APOBEC3C"
"715","APOBEC3D"
"716","APOBEC3F"
"717","APOBEC3G"
"718","APOBEC3H"
"719","APOBEC4"
"720","APOC3"
"721","APOC4"
"722","APOD"
"723","APOE"
"724","APOF"
"725","APOH"
"726","APOL1"
"727","APOL2"
"728","APOL3"
"729","APOL5"
"730","APOL6"
"731","APOM"
"732","APOO"
"733","APOPT1"
"734","APP"
"735","APPBP2"
"736","APPL1"
"737","APPL2"
"738","APRT"
"739","APTX"
"740","AQP1"
"741","AQP10"
"742","AQP11"
"743","AQP12A"
"744","AQP12B"
"745","AQP2"
"746","AQP3"
"747","AQP4"
"748","AQP5"
"749","AQP6"
"750","AQP7"
"751","AQP8"
"752","AQP9"
"753","AQPEP"
"754","AR"
"755","ARAF"
"756","ARAP1"
"757","ARAP2"
"758","ARAP3"
"759","AREG"
"760","AREGB"
"761","AREL1"
"762","ARF4"
"763","ARF5"
"764","ARF6"
"765","ARFGAP1"
"766","ARFGAP2"
"767","ARFGAP3"
"768","ARFGEF1"
"769","ARFGEF2"
"770","ARFIP1"
"771","ARFIP2"
"772","ARFRP1"
"773","ARG1"
"774","ARG2"
"775","ARGFX"
"776","ARHGAP1"
"777","ARHGAP10"
"778","ARHGAP11A"
"779","ARHGAP11B"
"780","ARHGAP12"
"781","ARHGAP15"
"782","ARHGAP17"
"783","ARHGAP18"
"784","ARHGAP19"
"785","ARHGAP20"
"786","ARHGAP21"
"787","ARHGAP22"
"788","ARHGAP23"
"789","ARHGAP24"
"790","ARHGAP25"
"791","ARHGAP26"
"792","ARHGAP27"
"793","ARHGAP28"
"794","ARHGAP29"
"795","ARHGAP30"
"796","ARHGAP31"
"797","ARHGAP32"
"798","ARHGAP33"
"799","ARHGAP35"
"800","ARHGAP36"
"801","ARHGAP39"
"802","ARHGAP4"
"803","ARHGAP44"
"804","ARHGAP5"
"805","ARHGAP6"
"806","ARHGAP8"
"807","ARHGAP9"
"808","ARHGDIA"
"809","ARHGDIB"
"810","ARHGDIG"
"811","ARHGEF1"
"812","ARHGEF10"
"813","ARHGEF10L"
"814","ARHGEF11"
"815","ARHGEF16"
"816","ARHGEF17"
"817","ARHGEF18"
"818","ARHGEF19"
"819","ARHGEF2"
"820","ARHGEF25"
"821","ARHGEF28"
"822","ARHGEF3"
"823","ARHGEF35"
"824","ARHGEF37"
"825","ARHGEF38"
"826","ARHGEF39"
"827","ARHGEF4"
"828","ARHGEF40"
"829","ARHGEF5"
"830","ARHGEF6"
"831","ARHGEF7"
"832","ARHGEF9"
"833","ARID1B"
"834","ARID2"
"835","ARID3A"
"836","ARID3B"
"837","ARID3C"
"838","ARID4A"
"839","ARID4B"
"840","ARID5A"
"841","ARID5B"
"842","ARIH1"
"843","ARIH2"
"844","ARIH2OS"
"845","ARL1"
"846","ARL10"
"847","ARL11"
"848","ARL13A"
"849","ARL13B"
"850","ARL14"
"851","ARL14EP"
"852","ARL15"
"853","ARL16"
"854","ARL17A"
"855","ARL17B"
"856","ARL2BP"
"857","ARL3"
"858","ARL4A"
"859","ARL4C"
"860","ARL4D"
"861","ARL5A"
"862","ARL5B"
"863","ARL5C"
"864","ARL6IP4"
"865","ARL6IP5"
"866","ARL6IP6"
