"","x"
"290","NUP155"
"291","NUP214"
"292","NUP85"
"293","NUP88"
"294","NUP93"
"295","NUP98"
"296","NVL"
"297","OGT"
"298","OPA1"
"299","ORAOV1"
"300","ORC3"
"301","ORC6"
"302","OSGEP"
"303","PABPN1"
"304","PAFAH1B1"
"305","PAK1IP1"
"306","PAXBP1"
"307","PCF11"
"308","PCID2"
"309","PCNA"
"310","PDCD11"
"311","PES1"
"312","PFDN2"
"313","PGK1"
"314","PHB"
"315","PLK1"
"316","PMPCA"
"317","PMPCB"
"318","PNN"
"319","PNPT1"
"320","POLA1"
"321","POLA2"
"322","POLD2"
"323","POLE2"
"324","POLR1A"
"325","POLR1B"
"326","POLR1C"
"327","POLR2A"
"328","POLR2B"
"329","POLR2C"
"330","POLR2D"
"331","POLR2I"
"332","POLR2L"
"333","POLR3A"
"334","POLR3C"
"335","POLR3H"
"336","POLR3K"
"337","POP4"
"338","POP7"
"339","PPAN"
"340","PPIL2"
"341","PPP1R10"
"342","PPP2R1A"
"343","PPRC1"
"344","PRC1"
"345","PREB"
"346","PRMT1"
"347","PRMT5"
"348","PRPF19"
"349","PRPF3"
"350","PRPF31"
"351","PRPF38B"
"352","PRPF4"
"353","PRPF6"
"354","PRPF8"
"355","PSMA1"
"356","PSMA2"
"357","PSMA3"
"358","PSMA5"
"359","PSMA7"
"360","PSMB1"
"361","PSMB2"
"362","PSMB3"
"363","PSMB4"
"364","PSMB5"
"365","PSMB6"
"366","PSMB7"
"367","PSMC3"
"368","PSMC5"
"369","PSMD1"
"370","PSMD11"
"371","PSMD13"
"372","PSMD14"
"373","PSMD2"
"374","PSMD3"
"375","PSMD4"
"376","PSMD6"
"377","PSMD7"
"378","PSMG1"
"379","PTPMT1"
"380","PWP2"
"381","QARS"
"382","RABGGTB"
"383","RACGAP1"
"384","RAD51"
"385","RAD51C"
"386","RAE1"
"387","RANGAP1"
"388","RARS"
"389","RBBP6"
"390","RBM14"
"391","RBM17"
"392","RBM25"
"393","RBMX"
"394","RCC1"
"395","RCL1"
"396","RFC2"
"397","RFC3"
"398","RFC4"
"399","RFC5"
"400","RFT1"
"401","RINT1"
"402","RIOK1"
"403","RIOK2"
"404","RNGTT"
"405","RNMT"
"406","RNPC3"
"407","RPA1"
"408","RPL11"
"409","RPL12"
"410","RPL13"
"411","RPL18"
"412","RPL19"
"413","RPL27A"
"414","RPL31"
"415","RPL38"
"416","RPL4"
"417","RPL9"
"418","RPLP2"
"419","RPN1"
"420","RPN2"
"421","RPP30"
"422","RPP40"
"423","RPS11"
"424","RPS13"
"425","RPS18"
"426","RPS2"
"427","RPS21"
"428","RPS29"
"429","RPS4X"
"430","RPUSD4"
"431","RRM1"
"432","RRM2"
"433","RRP1"
"434","RRP12"
"435","RRP9"
"436","RTFDC1"
"437","RUVBL1"
"438","RUVBL2"
"439","SACM1L"
"440","SAE1"
"441","SARS"
"442","SART1"
"443","SART3"
"444","SDAD1"
"445","SEC61A1"
"446","SEH1L"
"447","SF1"
"448","SF3A2"
"449","SF3B2"
"450","SF3B3"
"451","SFPQ"
"452","SHQ1"
"453","SKA1"
"454","SKA3"
"455","SKIV2L2"
"456","SLC35B1"
"457","SLC7A6OS"
"458","SLMO2"
"459","SMC1A"
"460","SMC2"
"461","SMC4"
"462","SMC5"
"463","SMG1"
"464","SNF8"
"465","SNIP1"
"466","SNRNP200"
"467","SNRNP35"
